formula,na_stoichiometry,fe_fraction,mn_fraction,co_fraction,ni_fraction,cu_fraction,zn_fraction,vacancy_fraction,water_content,c_rate,voltage_min_V,voltage_max_V,test_temp_C,electrolyte,specific_capacity_mAhg,avg_voltage_V,capacity_retention_pct,ICE_pct,rate_cap_1C_5C_pct,synth_temp_C,synth_pH,precursor_conc_M,aging_time_h,paper_doi,paper_year,lab_group,notes,mp_material_id,mp_formula_matched,mp_formation_energy_per_atom,mp_energy_above_hull,mp_band_gap,mp_volume,mp_density,mp_nsites,mp_volume_per_atom,mm_mean_atomic_weight,mm_mean_mendeleev_num,mm_mean_atomic_radius,mm_mean_electronegativity,mm_mean_s_valence,mm_mean_d_valence,mm_mean_f_valence,mm_mean_total_valence,mm_mean_s_unfilled,mm_mean_d_unfilled,mm_mean_total_unfilled,mm_mean_gs_volume_pa,mm_mean_gs_bandgap,mm_mean_gs_magmom,mm_mean_spacegroup,mm_mean_covalent_radius,mm_range_atomic_radius,mm_range_electronegativity,mm_range_d_valence,mm_avgdev_electronegativity,mm_avgdev_atomic_radius,mm_max_electronegativity,mm_min_electronegativity,mm_mean_ionization_energy,mm_mean_electron_affinity,mm_mean_row,mm_mean_column,mm_std_atomic_radius,mm_std_electronegativity,mm_n_elements,mm_stoichiometry_entropy,pba_weighted_ionic_radius,pba_ionic_radius_mismatch,pba_weighted_d_electrons,pba_jt_active_fraction,pba_n_redox_active_metals,pba_theoretical_capacity,pba_charge_balance,pba_substitution_entropy,pba_jt_active_bool,pba_redox_potential_estimate,pba_framework_rigidity,pba_na_vacancy_fraction,pba_na_vacancy_ordered,pba_water_content_normalized
Na2Fe[Fe(CN)6],2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,161.5,3.1,86.1,92.9,74.1,80.0,5.0,0.1,24.0,10.9999/dummy.001,2022,Altris AB,Pure PW baseline: Fully sodiated pure PW — reference point,,,,,,,,,,19.6125,80.0,0.9525,2.44125,1.875,0.75,0.0,4.5,0.125,0.5,0.625,13.375,2.0625,0.9375,202.75,0.92375,1.05,2.11,6,0.530625,0.28875,3.04,0.93,11.30125,0.56,2.375,12.0,0.359818,0.686339,2,1.255482,0.78,0.0,6.0,0.0,1,170.0,1.0,0.0,0,3.15,1.0,0.0,1.0,0.0
Na1.95Fe[Fe(CN)6],1.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,156.6,3.13,85.0,91.1,79.8,80.0,5.0,0.1,24.0,10.9999/dummy.002,2023,Altris AB,Pure PW baseline: Slightly Na-deficient (as-made real materials often are),,,,,,,,,,19.601912,80.216301,0.949843,2.445987,1.877743,0.752351,0.0,4.510972,0.122257,0.501567,0.623824,13.293103,2.068966,0.938871,202.667712,0.921442,1.05,2.11,6,0.52516,0.285658,3.04,0.93,11.320564,0.560031,2.373041,12.034483,0.357234,0.68217,2,1.252865,0.78,0.0,6.0,0.0,1,165.75,0.975,0.0,0,3.15,1.0,0.025,1.0,0.0
Na1.9Fe[Fe(CN)6],1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,152.3,3.21,85.7,91.1,78.7,80.0,5.0,0.1,24.0,10.9999/dummy.003,2023,Altris AB,Pure PW baseline: Common as-synthesised PW composition,mp-843316,Na1.9Fe[Fe(CN)6],-1.421,0.1137,1.209,545.6,2.336,28.0,20.227,19.591258,80.433962,0.94717,2.450755,1.880503,0.754717,0.0,4.522013,0.119497,0.503145,0.622642,13.210692,2.075472,0.940252,202.584906,0.919119,1.05,2.11,6,0.519616,0.28252,3.04,0.93,11.34,0.560063,2.371069,12.069182,0.354595,0.677915,2,1.25016,0.78,0.0,6.0,0.0,1,161.5,0.95,0.0,0,3.15,1.0,0.05,1.0,0.0
Na1.85Fe[Fe(CN)6],1.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,146.4,3.18,85.5,92.4,78.9,80.0,5.0,0.1,24.0,10.9999/dummy.004,2023,Altris AB,Pure PW baseline: Further Na loss — starts to show capacity drop,mp-646657,Na1.85Fe[Fe(CN)6],-1.6045,0.0556,1.439,428.42,1.878,29.0,17.806,19.580536,80.652997,0.944479,2.455552,1.883281,0.757098,0.0,4.533123,0.116719,0.504732,0.621451,13.12776,2.082019,0.94164,202.501577,0.916782,1.05,2.11,6,0.513991,0.279338,3.04,0.93,11.359558,0.560095,2.369085,12.104101,0.351898,0.673573,2,1.247365,0.78,0.0,6.0,0.0,1,157.25,0.925,0.0,0,3.15,1.0,0.075,1.0,0.0
Na1.8Fe[Fe(CN)6],1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,140.4,3.18,86.1,92.5,76.7,80.0,5.0,0.1,24.0,10.9999/dummy.005,2023,Altris AB,Pure PW baseline: Sodium-deficient regime; capacity ceiling reduced,mp-836676,Na1.8Fe[Fe(CN)6],-1.627,0.1024,0.78,429.99,1.804,23.0,20.295,19.569747,80.873418,0.941772,2.46038,1.886076,0.759494,0.0,4.544304,0.113924,0.506329,0.620253,13.044304,2.088608,0.943038,202.417722,0.91443,1.05,2.11,6,0.508284,0.27611,3.04,0.93,11.379241,0.560127,2.367089,12.139241,0.349143,0.66914,2,1.244477,0.78,0.0,6.0,0.0,1,153.0,0.9,0.0,0,3.15,1.0,0.1,1.0,0.0
Na1.7Fe[Fe(CN)6],1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,138.6,3.08,84.5,91.5,76.7,80.0,5.0,0.1,24.0,10.9999/dummy.006,2023,Altris AB,Pure PW baseline: Significantly Na-deficient. Steep capacity drop below 1.7,mp-598192,Na1.7Fe[Fe(CN)6],-1.399,0.0707,1.63,514.75,2.181,21.0,18.429,19.547962,81.318471,0.936306,2.470127,1.89172,0.764331,0.0,4.566879,0.10828,0.509554,0.617834,12.875796,2.101911,0.94586,202.248408,0.909682,1.05,2.11,6,0.496621,0.269512,3.04,0.93,11.418981,0.560191,2.363057,12.210191,0.343447,0.65999,2,1.238407,0.78,0.0,6.0,0.0,1,144.5,0.85,0.0,0,3.15,1.0,0.15,1.0,0.0
Na1.6Fe[Fe(CN)6],1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,130.7,3.19,84.5,91.5,79.7,80.0,5.0,0.1,24.0,10.9999/dummy.007,2023,Altris AB,Pure PW baseline: Most Na-poor pure PW; near practical lower limit,mp-897066,Na1.6Fe[Fe(CN)6],-1.6596,0.0087,1.063,444.04,2.197,28.0,18.456,19.525897,81.769231,0.930769,2.48,1.897436,0.769231,0.0,4.589744,0.102564,0.512821,0.615385,12.705128,2.115385,0.948718,202.076923,0.904872,1.05,2.11,6,0.484615,0.262722,3.04,0.93,11.459231,0.560256,2.358974,12.282051,0.33749,0.650444,2,1.231924,0.78,0.0,6.0,0.0,1,136.0,0.8,0.0,0,3.15,1.0,0.2,1.0,0.0
Na1.9Fe0.9Mn0.1[Fe(CN)6],1.9,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,152.7,3.23,82.4,92.5,76.7,80.0,5.0,0.1,24.0,10.9999/dummy.008,2023,Altris AB,"Mn substitution series: 10% Mn — small voltage boost, minimal JT damage",mp-542457,Na1.9Fe0.9Mn0.1[Fe(CN)6],-1.3666,0.0693,0.823,475.16,1.891,20.0,19.571,19.585535,80.427673,0.947233,2.448994,1.880503,0.748428,0.0,4.515723,0.119497,0.509434,0.628931,13.216352,2.075472,0.933962,202.509434,0.91956,1.05,2.11,6,0.522274,0.282615,3.04,0.93,11.337044,0.559119,2.371069,12.062893,0.354651,0.679886,3,1.27513,0.785,0.05,5.9,0.1,2,161.5,0.95,0.3251,1,3.195,0.985,0.05,1.0,0.0
Na1.9Fe0.75Mn0.25[Fe(CN)6],1.9,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,155.0,3.26,79.1,91.9,74.6,80.0,5.0,0.1,24.0,10.9999/dummy.009,2023,Uppsala Uni,"Mn substitution series: 25% Mn — classic Uppsala/Altris level; +0.1V, mild retention loss",mp-637036,Na1.9Fe0.75Mn0.25[Fe(CN)6],-1.2229,0.1363,1.899,439.88,2.382,21.0,20.23,19.57695,80.418239,0.947327,2.446352,1.880503,0.738994,0.0,4.506289,0.119497,0.518868,0.638365,13.224843,2.075472,0.924528,202.396226,0.92022,1.05,2.11,6,0.526261,0.282758,3.04,0.93,11.33261,0.557704,2.371069,12.053459,0.354735,0.682824,3,1.297552,0.7925,0.05,5.75,0.25,2,161.5,0.95,0.5623,1,3.262,0.9625,0.05,1.0,0.0
Na1.9Fe0.5Mn0.5[Fe(CN)6],1.9,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,155.4,3.33,74.1,91.0,77.3,80.0,5.0,0.1,24.0,10.9999/dummy.010,2023,Uppsala Uni,"Mn substitution series: 50% Mn — voltage prominent, retention drops noticeably",mp-781612,Na1.9Fe0.5Mn0.5[Fe(CN)6],-1.6164,0.0869,0.854,528.49,2.255,22.0,19.756,19.562642,80.402516,0.947484,2.44195,1.880503,0.72327,0.0,4.490566,0.119497,0.534591,0.654088,13.238994,2.075472,0.908805,202.207547,0.921321,1.05,2.11,6,0.532906,0.282995,3.04,0.93,11.32522,0.555346,2.371069,12.037736,0.354876,0.687669,3,1.320894,0.805,0.05,5.5,0.5,2,161.5,0.95,0.6931,1,3.375,0.925,0.05,1.0,0.0
Na1.9Fe0.25Mn0.75[Fe(CN)6],1.9,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,153.1,3.49,71.5,91.8,76.0,80.0,5.0,0.1,24.0,10.9999/dummy.011,2023,Altris AB,"Mn substitution series: 75% Mn — voltage close to pure Mn regime, retention degrades",mp-814754,Na1.9Fe0.25Mn0.75[Fe(CN)6],-1.5036,0.0495,0.789,415.51,2.153,20.0,15.365,19.548333,80.386792,0.947642,2.437547,1.880503,0.707547,0.0,4.474843,0.119497,0.550314,0.669811,13.253145,2.075472,0.893082,202.018868,0.922421,1.05,2.11,6,0.539551,0.283232,3.04,0.93,11.31783,0.552987,2.371069,12.022013,0.355017,0.692452,3,1.333375,0.8175,0.05,5.25,0.75,2,161.5,0.95,0.5623,1,3.488,0.8875,0.05,1.0,0.0
Na1.9Mn[Fe(CN)6],1.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,147.8,3.58,61.7,92.6,77.6,80.0,5.0,0.1,24.0,10.9999/dummy.012,2023,Altris AB,"Mn substitution series: Pure Mn variant — extreme case; highest V, worst retention",,,,,,,,,,19.534025,80.371069,0.947799,2.433145,1.880503,0.691824,0.0,4.459119,0.119497,0.566038,0.685535,13.267296,2.075472,0.877358,201.830189,0.923522,1.05,2.11,6,0.546197,0.28347,3.04,0.93,11.31044,0.550629,2.371069,12.006289,0.355157,0.697175,3,1.337348,0.83,0.0,5.0,1.0,1,161.5,0.95,0.0,1,3.6,0.85,0.05,1.0,0.0
Na1.85Fe0.85Co0.15[Fe(CN)6],1.85,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0,C/10,2.0,3.8,25.0,1M NaClO4 PC,132.0,3.19,86.9,94.0,83.8,80.0,5.0,0.1,24.0,10.9999/dummy.013,2023,MIT,"Co substitution series: 15% Co — mild stabilisation, small capacity cost",,,,,,,,,,19.609685,80.662461,0.944385,2.456025,1.883281,0.766562,0.0,4.542587,0.116719,0.495268,0.611987,13.120189,2.082019,0.932177,202.170347,0.916215,1.05,2.11,7,0.513274,0.279195,3.04,0.93,11.359369,0.564921,2.369085,12.113565,0.351815,0.673151,3,1.280978,0.7748,0.035,6.15,0.0,2,157.25,0.925,0.4227,0,3.172,1.0075,0.075,1.0,0.0
Na1.85Fe0.7Co0.3[Fe(CN)6],1.85,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0,C/10,2.0,3.8,25.0,1M NaClO4 PC,132.1,3.09,86.7,91.2,77.2,80.0,5.0,0.1,24.0,10.9999/dummy.014,2023,CNRS,Co substitution series: 30% Co — retention improvement visible,mp-613823,Na1.85Fe0.7Co0.3[Fe(CN)6],-1.3042,0.1344,0.78,483.11,1.865,20.0,19.378,19.638833,80.671924,0.94429,2.456498,1.883281,0.776025,0.0,4.55205,0.116719,0.485804,0.602524,13.112618,2.082019,0.922713,201.839117,0.915647,1.05,2.11,7,0.512558,0.279051,3.04,0.93,11.35918,0.569748,2.369085,12.123028,0.351731,0.672728,3,1.300704,0.7695,0.035,6.3,0.0,2,157.25,0.925,0.6109,0,3.195,1.015,0.075,1.0,0.0
Na1.85Fe0.5Co0.5[Fe(CN)6],1.85,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,C/10,2.0,3.8,25.0,1M NaClO4 PC,135.9,3.31,87.3,93.0,77.0,80.0,5.0,0.1,24.0,10.9999/dummy.015,2023,CNRS,Co substitution series: 50% Co — retention advantage clear at some capacity cost,mp-594582,Na1.85Fe0.5Co0.5[Fe(CN)6],-1.4671,0.0556,2.16,521.24,1.99,20.0,21.623,19.677697,80.684543,0.944164,2.457129,1.883281,0.788644,0.0,4.564669,0.116719,0.473186,0.589905,13.102524,2.082019,0.910095,201.397476,0.91489,1.05,2.11,7,0.511602,0.27886,3.04,0.93,11.358927,0.576183,2.369085,12.135647,0.35162,0.672163,3,1.318322,0.7625,0.035,6.5,0.0,2,157.25,0.925,0.6931,0,3.225,1.025,0.075,1.0,0.0
Na1.85Fe0.25Co0.75[Fe(CN)6],1.85,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0,C/10,2.0,3.8,25.0,1M NaClO4 PC,137.7,3.25,88.1,91.3,78.9,80.0,5.0,0.1,24.0,10.9999/dummy.016,2023,CNRS,Co substitution series: 75% Co — heavily substituted; expensive Co-rich regime,mp-619519,Na1.85Fe0.25Co0.75[Fe(CN)6],-1.2046,0.1338,1.997,533.62,2.336,24.0,18.151,19.726278,80.700315,0.944006,2.457918,1.883281,0.804416,0.0,4.580442,0.116719,0.457413,0.574132,13.089905,2.082019,0.894322,200.845426,0.913943,1.05,2.11,7,0.510408,0.278622,3.04,0.93,11.358612,0.584227,2.369085,12.15142,0.35148,0.671456,3,1.330843,0.7537,0.035,6.75,0.0,2,157.25,0.925,0.5623,0,3.262,1.0375,0.075,1.0,0.0
Na1.8Fe0.85Ni0.15[Fe(CN)6],1.8,0.85,0.0,0.0,0.15,0.0,0.0,0.0,0,1C,2.0,4.0,25.0,1M NaPF6 EC,113.8,3.15,85.7,93.1,78.9,80.0,5.0,0.1,24.0,10.9999/dummy.017,2023,Stanford,Ni substitution series: 15% Ni at 1C — Ni inactive nature visible,,,,,,,,,,19.596709,80.920886,0.941582,2.461139,1.886076,0.778481,0.0,4.563291,0.113924,0.487342,0.601266,13.033861,2.088608,0.90981,202.379747,0.913671,1.05,2.11,8,0.50713,0.275821,3.04,0.93,11.376772,0.569715,2.367089,12.158228,0.348975,0.668469,3,1.278196,0.7665,0.09,6.3,0.0,1,130.05,1.0,0.4227,0,3.142,1.015,0.1,1.0,0.0
Na1.8Fe0.7Ni0.3[Fe(CN)6],1.8,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0,1C,2.0,4.0,25.0,1M NaPF6 EC,97.2,3.07,85.5,93.7,81.4,80.0,5.0,0.1,24.0,10.9999/dummy.018,2023,Stanford,"Ni substitution series: 30% Ni — capacity lower, retention better",mp-798695,Na1.8Fe0.7Ni0.3[Fe(CN)6],-1.4404,0.1312,0.893,446.55,2.266,21.0,21.775,19.623671,80.968354,0.941392,2.461899,1.886076,0.797468,0.0,4.582278,0.113924,0.468354,0.582278,13.023418,2.088608,0.876582,202.341772,0.912911,1.05,2.11,8,0.505977,0.275533,3.04,0.93,11.374304,0.579304,2.367089,12.177215,0.348807,0.667796,3,1.297984,0.753,0.09,6.6,0.0,1,107.1,1.0,0.6109,0,3.135,1.03,0.1,1.0,0.0
Na1.8Fe0.5Ni0.5[Fe(CN)6],1.8,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1C,2.0,4.0,25.0,1M NaPF6 EC,79.5,3.12,89.8,93.4,78.2,80.0,5.0,0.1,24.0,10.9999/dummy.019,2023,Stanford,"Ni substitution series: 50% Ni — Ni-heavy = low capacity, good stability",,,,,,,,,,19.65962,81.031646,0.941139,2.462911,1.886076,0.822785,0.0,4.607595,0.113924,0.443038,0.556962,13.009494,2.088608,0.832278,202.291139,0.911899,1.05,2.11,8,0.504438,0.275148,3.04,0.93,11.371013,0.592089,2.367089,12.202532,0.348583,0.666898,3,1.315658,0.735,0.09,7.0,0.0,1,76.5,1.0,0.6931,0,3.125,1.05,0.1,1.0,0.0
Na1.8Fe0.25Ni0.75[Fe(CN)6],1.8,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0,1C,2.0,4.0,25.0,1M NaPF6 EC,54.6,3.11,90.1,90.8,76.2,80.0,5.0,0.1,24.0,10.9999/dummy.020,2023,Stanford,"Ni substitution series: 75% Ni — extreme case; lowest capacity, best retention",,,,,,,,,,19.704557,81.110759,0.940823,2.464177,1.886076,0.85443,0.0,4.639241,0.113924,0.411392,0.525316,12.992089,2.088608,0.776899,202.227848,0.910633,1.05,2.11,8,0.502516,0.274668,3.04,0.93,11.366899,0.60807,2.367089,12.234177,0.348302,0.66577,3,1.328219,0.7125,0.09,7.5,0.0,1,38.25,1.0,0.5623,0,3.113,1.075,0.1,1.0,0.0
Na1.85Fe0.9Cu0.1[Fe(CN)6],1.85,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,144.5,3.09,84.2,91.5,77.3,80.0,5.0,0.1,24.0,10.9999/dummy.021,2024,HIT China,Cu substitution series: 10% Cu — small stabilisation,mp-703349,Na1.85Fe0.9Cu0.1[Fe(CN)6],-1.2266,0.043,2.35,403.73,2.133,26.0,19.072,19.629117,80.671924,0.944606,2.455994,1.876972,0.782334,0.0,4.55205,0.123028,0.479495,0.602524,13.126498,2.082019,0.919558,202.476341,0.916782,1.05,2.11,10,0.513322,0.279529,3.04,0.93,11.358486,0.566972,2.369085,12.123028,0.352015,0.673185,3,1.272414,0.775,0.05,6.3,0.1,2,157.25,0.925,0.3251,1,3.155,0.99,0.075,1.0,0.0
Na1.85Fe0.75Cu0.25[Fe(CN)6],1.85,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,125.3,3.17,83.2,94.5,81.8,80.0,5.0,0.1,24.0,10.9999/dummy.022,2024,HIT China,"Cu substitution series: 25% Cu — modest capacity drop, JT risk in retention",,,,,,,,,,19.701987,80.700315,0.944795,2.456656,1.867508,0.820189,0.0,4.580442,0.132492,0.44164,0.574132,13.124606,2.082019,0.886435,202.438486,0.916782,1.05,2.11,10,0.512319,0.279816,3.04,0.93,11.356877,0.577287,2.369085,12.15142,0.35219,0.672603,3,1.294907,0.7675,0.05,6.75,0.25,2,157.25,0.925,0.5623,1,3.162,0.975,0.075,1.0,0.0
Na1.85Fe0.5Cu0.5[Fe(CN)6],1.85,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,110.0,3.1,79.9,92.3,80.4,80.0,5.0,0.1,24.0,10.9999/dummy.023,2024,HIT China,Cu substitution series: 50% Cu — heavier load; retention shows JT + capacity cost,,,,,,,,,,19.823438,80.747634,0.94511,2.45776,1.851735,0.883281,0.0,4.62776,0.148265,0.378549,0.526814,13.121451,2.082019,0.83123,202.375394,0.916782,1.05,2.11,10,0.510647,0.280293,3.04,0.93,11.354196,0.594479,2.369085,12.198738,0.352481,0.67163,3,1.318322,0.755,0.05,7.5,0.5,2,157.25,0.925,0.6931,1,3.175,0.95,0.075,1.0,0.0
Na1.9Fe0.9Zn0.1[Fe(CN)6],1.9,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,134.1,3.04,84.9,90.9,76.9,80.0,5.0,0.1,24.0,10.9999/dummy.024,2024,Fraunhofer,"Zn substitution (null control): 10% Zn — pure dilution, small linear capacity drop",mp-870588,Na1.9Fe0.9Zn0.1[Fe(CN)6],-1.4088,0.1301,1.408,437.18,1.942,24.0,19.968,19.651195,80.471698,0.947673,2.449623,1.880503,0.779874,0.0,4.54717,0.119497,0.477987,0.597484,13.230818,2.075472,0.918239,202.36478,0.918491,1.05,2.11,10,0.521324,0.28328,3.04,0.93,11.349371,0.559119,2.371069,12.09434,0.355094,0.6791,3,1.27513,0.776,0.04,6.4,0.0,1,145.35,1.0,0.3251,0,3.145,1.0,0.05,1.0,0.0
Na1.9Fe0.75Zn0.25[Fe(CN)6],1.9,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,120.3,3.28,83.7,91.6,78.7,80.0,5.0,0.1,24.0,10.9999/dummy.025,2024,Fraunhofer,Zn substitution (null control): 25% Zn — capacity drops proportionally,,,,,,,,,,19.741101,80.528302,0.948428,2.447925,1.880503,0.81761,0.0,4.584906,0.119497,0.440252,0.559748,13.261006,2.075472,0.88522,202.034591,0.917547,1.05,2.11,10,0.523888,0.284419,3.04,0.93,11.363428,0.557704,2.371069,12.132075,0.355842,0.68087,3,1.297552,0.77,0.04,7.0,0.0,1,121.125,1.0,0.5623,0,3.137,1.0,0.05,1.0,0.0
Na1.9Fe0.5Zn0.5[Fe(CN)6],1.9,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,C/10,2.0,4.0,25.0,1M NaClO4 PC,73.7,3.11,87.0,92.4,77.2,80.0,5.0,0.1,24.0,10.9999/dummy.026,2024,Fraunhofer,"Zn substitution (null control): 50% Zn — half site is dead weight, framework stable",mp-682263,Na1.9Fe0.5Zn0.5[Fe(CN)6],-1.7873,0.0083,0.849,408.01,2.155,21.0,19.446,19.890943,80.622642,0.949686,2.445094,1.880503,0.880503,0.0,4.647799,0.119497,0.377358,0.496855,13.311321,2.075472,0.830189,201.484277,0.915975,1.05,2.11,10,0.528159,0.286318,3.04,0.93,11.386855,0.555346,2.371069,12.194969,0.35708,0.683801,3,1.320894,0.76,0.04,8.0,0.0,1,80.75,1.0,0.6931,0,3.125,1.0,0.05,1.0,0.0
